freq [Hz]	dBv	Phase [deg]
559	87.329336	-1.569108
560	87.323472	-1.659734
561	87.306176	-1.729616
562	87.292786	-1.797815
563	87.277035	-1.847745
564	87.257256	-1.895803
565	87.244533	-1.880026
566	87.239107	-1.877463
567	87.239117	-1.954877
568	87.229621	-2.092975
569	87.211369	-2.236056
570	87.18044	-2.346644
571	87.148028	-2.397335
572	87.114993	-2.421176
573	87.081125	-2.409337
574	87.043349	-2.369615
575	87.006487	-2.243715
576	86.977169	-2.065337
577	86.958777	-1.865062
578	86.953469	-1.654042
579	86.954022	-1.520136
580	86.955724	-1.409711
581	86.958782	-1.376604
582	86.953485	-1.331292
583	86.946058	-1.299901
584	86.933961	-1.236534
585	86.928002	-1.158464
586	86.918882	-1.08938
587	86.910215	-1.007299
588	86.901306	-0.893222
589	86.900464	-0.752101
590	86.906905	-0.670391
591	86.912192	-0.608595
592	86.914144	-0.588699
593	86.912186	-0.59578
594	86.900819	-0.567399
595	86.888997	-0.50384
596	86.875498	-0.390615
597	86.872664	-0.244082
598	86.876364	-0.106228
599	86.876673	-0.021739
600	86.881331	0.116493
601	86.891886	0.239233
602	86.905147	0.315601
603	86.917603	0.367822
604	86.93004	0.408499
605	86.941444	0.424571
606	86.94815	0.429963
607	86.951579	0.437836
608	86.954851	0.479763
609	86.958838	0.523309
610	86.96645	0.60811
611	86.980169	0.667623
612	87.001135	0.693037
613	87.022538	0.660274
614	87.035431	0.554799
615	87.04213	0.455196
616	87.040888	0.357033
617	87.032802	0.266099
618	87.018486	0.244756
619	87.008572	0.291402
620	87.007182	0.362931
621	87.011517	0.389322
622	87.016781	0.392685
623	87.015922	0.389503
624	87.012324	0.40574
625	87.015534	0.442085
626	87.019717	0.477702
627	87.026261	0.473319
628	87.032024	0.450627
629	87.02915	0.418964
630	87.027355	0.413202
631	87.026095	0.440146
632	87.02836	0.440511
633	87.026693	0.430977
634	87.022134	0.413283
635	87.009243	0.473431
636	87.007035	0.574126
637	87.006739	0.733448
638	87.022857	0.884995
639	87.052895	1.007378
640	87.08829	1.041582
641	87.12867	0.984495
642	87.16338	0.798369
643	87.180177	0.529004
644	87.178223	0.281291
645	87.160084	0.13154
646	87.150048	0.054246
647	87.141792	0.038845
648	87.144106	0.011909
649	87.149654	-0.031671
650	87.159431	-0.11748
651	87.165082	-0.258882
652	87.166027	-0.413506
653	87.160629	-0.581342
654	87.147171	-0.746981
655	87.133601	-0.859296
656	87.119676	-0.969431
657	87.10867	-1.110397
658	87.086882	-1.276151
659	87.057766	-1.409127
660	87.019566	-1.487988
661	86.986502	-1.508019
662	86.948913	-1.475825
663	86.917776	-1.399388
664	86.894211	-1.274259
665	86.881694	-1.157003
666	86.871822	-1.100748
667	86.856662	-1.074256
668	86.835022	-1.012511
669	86.81647	-0.871153
670	86.811318	-0.701634
671	86.813875	-0.631675
672	86.817387	-0.577825
673	86.812925	-0.578327
674	86.805933	-0.58003
675	86.789164	-0.592446
676	86.765591	-0.553329
677	86.741042	-0.368312
678	86.734595	-0.128659
679	86.755493	0.064699
680	86.783336	0.105051
681	86.797414	-0.019751
682	86.788236	-0.180585
683	86.755594	-0.226112
684	86.725279	-0.127441
685	86.704258	0.080422
686	86.704962	0.334508
687	86.729263	0.51171
688	86.75943	0.515811
689	86.775221	0.371185
690	86.76808	0.217969
691	86.747356	0.103007
692	86.717197	0.063264
693	86.68273	0.098249
694	86.652399	0.222869
695	86.623242	0.399116
696	86.605445	0.637799
697	86.598873	0.870585
698	86.596194	1.118293
699	86.60442	1.320498
700	86.615931	1.502203
701	86.626401	1.634565
702	86.636704	1.737381
703	86.640394	1.83796
704	86.640404	1.970157
705	86.642701	2.155814
706	86.65971	2.360807
707	86.679245	2.50173
708	86.698066	2.607394
709	86.713877	2.735335
710	86.73757	2.876718
711	86.766702	2.974081
712	86.798585	3.013439
713	86.825578	2.990558
714	86.844275	2.956692
715	86.856117	2.92842
716	86.868617	2.948863
717	86.882884	2.953513
718	86.895377	2.954703
719	86.908467	2.971923
720	86.920331	2.991244
721	86.93826	3.017046
722	86.951404	3.021079
723	86.969744	3.022538
724	86.98479	3.040951
725	87.004672	3.049341
726	87.028684	3.041777
727	87.054534	3.002247
728	87.083989	2.87877
729	87.098351	2.712079
730	87.103599	2.576955
731	87.111696	2.452064
732	87.113611	2.3261
733	87.109681	2.173168
734	87.095233	2.122984
735	87.089137	2.146646
736	87.097773	2.151351
737	87.1124	2.115815
738	87.121327	1.94158
739	87.115536	1.760473
740	87.091315	1.604523
741	87.058574	1.516869
742	87.014198	1.576881
743	86.97659	1.797642
744	86.964073	2.155771
745	86.978273	2.50073
746	87.008838	2.793632
747	87.059855	3.001726
748	87.117876	3.090273
749	87.181439	3.009766
750	87.231259	2.807405
751	87.264334	2.511622
752	87.28116	2.226658
753	87.284968	1.972898
754	87.287342	1.743711
755	87.280383	1.50162
756	87.263119	1.319935
757	87.245799	1.206816
758	87.23281	1.127976
759	87.220401	1.053666
760	87.208609	0.989698
761	87.194356	0.941191
762	87.182957	0.927208
763	87.172409	0.935699
764	87.167052	0.951298
765	87.168419	0.981085
766	87.175886	0.95843
767	87.180534	0.875769
768	87.180358	0.768941
769	87.169163	0.634635
770	87.15072	0.554001
771	87.126285	0.519554
772	87.102822	0.556077
773	87.084223	0.65005
774	87.070947	0.805239
775	87.073296	0.980104
776	87.090605	1.134261
777	87.11801	1.191696
778	87.143537	1.153918
779	87.163849	1.051185
780	87.17474	0.907747
781	87.176973	0.759233
782	87.17246	0.621876
783	87.162383	0.514964
784	87.148982	0.429823
785	87.134766	0.377677
786	87.121028	0.354226
787	87.110162	0.344015
788	87.09465	0.336177
789	87.083437	0.347124
790	87.069575	0.405406
791	87.059596	0.476192
792	87.057385	0.579172
793	87.062736	0.645411
794	87.068818	0.689118
795	87.073853	0.717059
796	87.08123	0.704929
797	87.080104	0.695068
798	87.080256	0.720275
799	87.082142	0.767521
800	87.09156	0.796298
801	87.10015	0.808635
802	87.113922	0.798915
803	87.12242	0.746737
804	87.130936	0.69123
805	87.134619	0.655559
806	87.144647	0.58863
807	87.149731	0.485561
808	87.148364	0.40858
809	87.144141	0.333512
810	87.145506	0.27687
811	87.143369	0.202694
812	87.136782	0.119682
813	87.131964	0.071485
814	87.126096	0.003641
815	87.115652	-0.06247
816	87.103407	-0.112947
817	87.091673	-0.122799
818	87.075802	-0.118006
819	87.068654	-0.08119
820	87.061776	-0.034413
821	87.062061	0.006537
822	87.063051	0.028273
823	87.067177	0.052175
824	87.073912	0.023865
825	87.076348	-0.034218
826	87.071703	-0.062227
827	87.072274	-0.114408
828	87.064378	-0.14601
829	87.061842	-0.162693
830	87.056644	-0.173699
831	87.0538	-0.194071
832	87.051622	-0.207965
833	87.050195	-0.23157
834	87.048953	-0.266464
835	87.043116	-0.326912
836	87.037236	-0.361577
837	87.025944	-0.409067
838	87.017006	-0.41976
839	87.003042	-0.423676
840	86.994117	-0.400255
841	86.986222	-0.356523
842	86.984046	-0.331561
843	86.981598	-0.304037
844	86.980047	-0.312407
845	86.977109	-0.310252
846	86.971544	-0.306855
847	86.968052	-0.300743
848	86.963564	-0.296544
849	86.960369	-0.269737
850	86.962219	-0.26512
851	86.957872	-0.289642
852	86.955197	-0.316608
853	86.946914	-0.324412
854	86.937091	-0.310531
855	86.931179	-0.282713
856	86.927251	-0.231715
857	86.92757	-0.188662
858	86.933301	-0.17095
859	86.93631	-0.187141
860	86.938775	-0.224822
861	86.934401	-0.288318
862	86.926875	-0.327812
863	86.913246	-0.36664
864	86.897002	-0.343487
865	86.884733	-0.287566
866	86.877503	-0.227261
867	86.873409	-0.149643
868	86.869729	-0.103254
869	86.871218	-0.057969
870	86.871065	-0.023501
871	86.866715	-0.010722
872	86.864338	0.009344
873	86.85859	0.057233
874	86.855282	0.1022
875	86.852126	0.162189
876	86.852312	0.222102
877	86.852769	0.282424
878	86.856507	0.348254
879	86.861316	0.372405
880	86.863264	0.405498
881	86.863275	0.442526
882	86.864474	0.489692
883	86.86792	0.550963
884	86.872694	0.61658
885	86.881193	0.660164
886	86.890005	0.713193
887	86.899471	0.720968
888	86.906899	0.761082
889	86.917363	0.77919
890	86.928918	0.792483
891	86.938651	0.779614
892	86.947827	0.777162
893	86.958574	0.752549
894	86.96548	0.727312
895	86.971777	0.699783
896	86.978528	0.679277
897	86.985137	0.651877
898	86.989558	0.619936
899	86.99537	0.60456
900	86.998177	0.571707
901	87.004111	0.582776
902	87.012696	0.575045
903	87.025703	0.538546
904	87.034708	0.49509
905	87.043417	0.403519
906	87.048087	0.343967
907	87.051682	0.268531
908	87.053064	0.189191
909	87.05335	0.132909
910	87.053611	0.070355
911	87.051523	0.022699
912	87.050184	-0.012016
913	87.051498	-0.035782
914	87.054925	-0.058647
915	87.058461	-0.100655
916	87.066102	-0.148954
917	87.06966	-0.214885
918	87.074386	-0.298419
919	87.073972	-0.390208
920	87.071886	-0.464463
921	87.071034	-0.53109
922	87.067647	-0.593123
923	87.065022	-0.649943
924	87.065621	-0.696509
925	87.066343	-0.74695
926	87.068765	-0.81488
927	87.075151	-0.89932
928	87.075335	-1.034659
929	87.071915	-1.172917
930	87.064237	-1.29983
931	87.051553	-1.414205
932	87.039482	-1.520902
933	87.026136	-1.590826
934	87.015077	-1.665247
935	87.004623	-1.750901
936	86.991265	-1.861404
937	86.972313	-1.950942
938	86.951541	-2.030743
939	86.92769	-2.078602
940	86.905498	-2.117549
941	86.881796	-2.113322
942	86.860928	-2.122983
943	86.840202	-2.114555
944	86.816625	-2.090752
945	86.794326	-2.042771
946	86.774541	-1.98358
947	86.755483	-1.885413
948	86.738497	-1.788933
949	86.728881	-1.660854
950	86.723335	-1.549346
951	86.720743	-1.467905
952	86.715521	-1.391275
953	86.713396	-1.313583
954	86.710711	-1.251972
955	86.708437	-1.171434
956	86.706149	-1.097555
957	86.710787	-1.02881
958	86.712913	-0.970706
959	86.71538	-0.923891
960	86.721101	-0.87909
961	86.726825	-0.846045
962	86.732839	-0.829398
963	86.738109	-0.835592
964	86.743573	-0.849997
965	86.743024	-0.882739
966	86.741488	-0.892745
967	86.73925	-0.910508
968	86.736209	-0.901684
969	86.734195	-0.900616
970	86.732956	-0.906223
971	86.72912	-0.894164
972	86.728897	-0.884459
973	86.728474	-0.876647
974	86.727712	-0.898722
975	86.725395	-0.90489
976	86.718992	-0.906644
977	86.714981	-0.896177
978	86.713004	-0.881903
979	86.708306	-0.861942
980	86.704925	-0.845757
981	86.703003	-0.814729
982	86.703753	-0.789389
983	86.700791	-0.773946
984	86.7005	-0.755322
985	86.699774	-0.731257
986	86.699562	-0.694387
987	86.702815	-0.682502
988	86.704083	-0.672042
989	86.706168	-0.665091
990	86.708162	-0.668084
991	86.705094	-0.667763
992	86.705745	-0.645207
993	86.708358	-0.62786
994	86.711669	-0.611159
995	86.715526	-0.630452
996	86.71722	-0.637289
997	86.717055	-0.64271
998	86.720626	-0.647061
999	86.719951	-0.665743
1000	86.723031	-0.675135
1001	86.722737	-0.676641
1002	86.724097	-0.69707
1003	86.725807	-0.715816
1004	86.725782	-0.730081
1005	86.72593	-0.739586
1006	86.724781	-0.753611
1007	86.725576	-0.756664
1008	86.726871	-0.743667
1009	86.733429	-0.751737
1010	86.734954	-0.777144
1011	86.74186	-0.798783
1012	86.746819	-0.828899
1013	86.750706	-0.896118
1014	86.754348	-0.95349
1015	86.75486	-1.037272
1016	86.752489	-1.108746
1017	86.74632	-1.185325
1018	86.74017	-1.235764
1019	86.734556	-1.270426
1020	86.72912	-1.33652
1021	86.719219	-1.369952
1022	86.709796	-1.395013
1023	86.701784	-1.395003
1024	86.697441	-1.390859
1025	86.695806	-1.398121
1026	86.690986	-1.419946
1027	86.689977	-1.428841
1028	86.686714	-1.458741
1029	86.683706	-1.472218
1030	86.683692	-1.489752
1031	86.682546	-1.534344
1032	86.682519	-1.57641
1033	86.678203	-1.657018
1034	86.670441	-1.705448
1035	86.662161	-1.759091
1036	86.652563	-1.803286
1037	86.642754	-1.823829
1038	86.633895	-1.845154
1039	86.625323	-1.872617
1040	86.616483	-1.874517
1041	86.61076	-1.884971
1042	86.607081	-1.905507
1043	86.601661	-1.955555
1044	86.592889	-1.994034
1045	86.581993	-2.045547
1046	86.571598	-2.061395
1047	86.559339	-2.070973
1048	86.551468	-2.080637
1049	86.54523	-2.09593
1050	86.536709	-2.121216
1051	86.529811	-2.160691
1052	86.517869	-2.205238
1053	86.506679	-2.249102
1054	86.490899	-2.266077
1055	86.476893	-2.290591
1056	86.46359	-2.3164
1057	86.443894	-2.326187
1058	86.42732	-2.30456
1059	86.409914	-2.294176
1060	86.395635	-2.257271
1061	86.381219	-2.220258
1062	86.367303	-2.188961
1063	86.355789	-2.153001
1064	86.340995	-2.131379
1065	86.328895	-2.073073
1066	86.317439	-2.029727
1067	86.306855	-1.991884
1068	86.297513	-1.966669
1069	86.287026	-1.921556
1070	86.272252	-1.911854
1071	86.262912	-1.866873
1072	86.246867	-1.842321
1073	86.231303	-1.794649
1074	86.21533	-1.727737
1075	86.202113	-1.6524
1076	86.187621	-1.572173
1077	86.176336	-1.484265
1078	86.167566	-1.402989
1079	86.150982	-1.298248
1080	86.147956	-1.204464
1081	86.140029	-1.110904
1082	86.132738	-1.030663
1083	86.125642	-0.947504
1084	86.119578	-0.850356
1085	86.114756	-0.780123
1086	86.105889	-0.699496
1087	86.100269	-0.607647
1088	86.093522	-0.516022
1089	86.086598	-0.424736
1090	86.080848	-0.321933
1091	86.076645	-0.221773
1092	86.072688	-0.117255
1093	86.067708	-0.023217
1094	86.062269	0.076166
1095	86.05714	0.215658
1096	86.056098	0.341176
1097	86.057766	0.476587
1098	86.05789	0.596293
1099	86.063188	0.728682
1100	86.068812	0.83743
1101	86.074926	0.959786
1102	86.083115	1.043839
1103	86.087955	1.131602
1104	86.096404	1.237621
1105	86.105532	1.305953
1106	86.10891	1.381604
1107	86.118367	1.473793
1108	86.126579	1.523663
1109	86.131711	1.604461
1110	86.137794	1.66375
1111	86.143936	1.740702
1112	86.150121	1.817304
1113	86.157946	1.892578
1114	86.164321	1.978184
1115	86.17739	2.044442
1116	86.187098	2.101467
1117	86.192514	2.164056
1118	86.203717	2.22522
1119	86.214369	2.293037
1120	86.224038	2.360352
1121	86.232945	2.396594
1122	86.245055	2.483172
1123	86.255285	2.531909
1124	86.266238	2.61222
1125	86.282685	2.666891
1126	86.297939	2.727026
1127	86.312657	2.767097
1128	86.332348	2.800456
1129	86.347691	2.801774
1130	86.362814	2.824806
1131	86.376464	2.815111
1132	86.391201	2.820989
