   freq [Hz]          Ohm  Phase [deg]
  273.000000     4.956007     5.642571
  274.000000     4.958652     5.723202
  275.000000     4.961492     5.793379
  276.000000     4.964319     5.865535
  277.000000     4.966590     5.940241
  278.000000     4.969177     6.014646
  279.000000     4.971887     6.092854
  280.000000     4.975209     6.168479
  281.000000     4.978660     6.236451
  282.000000     4.981454     6.294495
  283.000000     4.983905     6.355917
  284.000000     4.985497     6.416124
  285.000000     4.986901     6.484130
  286.000000     4.988180     6.557748
  287.000000     4.989754     6.637071
  288.000000     4.991698     6.720510
  289.000000     4.994377     6.803178
  290.000000     4.997460     6.881708
  291.000000     5.000137     6.953383
  292.000000     5.003169     7.026853
  293.000000     5.005904     7.096510
  294.000000     5.008389     7.165684
  295.000000     5.010952     7.239901
  296.000000     5.013727     7.315615
  297.000000     5.016855     7.386208
  298.000000     5.020344     7.459681
  299.000000     5.023534     7.526008
  300.000000     5.027118     7.587413
  301.000000     5.029885     7.648924
  302.000000     5.032724     7.709537
  303.000000     5.035141     7.770411
  304.000000     5.037669     7.837492
  305.000000     5.040234     7.907460
  306.000000     5.043612     7.972411
  307.000000     5.046714     8.031519
  308.000000     5.049764     8.092391
  309.000000     5.052156     8.146738
  310.000000     5.054561     8.208235
  311.000000     5.057319     8.267239
  312.000000     5.059214     8.326171
  313.000000     5.061223     8.386725
  314.000000     5.063278     8.455452
  315.000000     5.065317     8.528930
  316.000000     5.068376     8.596785
  317.000000     5.071437     8.668173
  318.000000     5.074772     8.733838
  319.000000     5.077133     8.803128
  320.000000     5.081947     8.856633
  321.000000     5.084151     8.924168
  322.000000     5.087325     8.981646
  323.000000     5.090543     9.040086
  324.000000     5.093751     9.101914
  325.000000     5.096984     9.155990
  326.000000     5.099906     9.212810
  327.000000     5.103060     9.267936
  328.000000     5.105853     9.322984
  329.000000     5.109102     9.377316
  330.000000     5.111652     9.429089
  331.000000     5.114380     9.485550
  332.000000     5.117025     9.543611
  333.000000     5.120182     9.598008
  334.000000     5.123091     9.656737
  335.000000     5.126263     9.705739
  336.000000     5.128820     9.759147
  337.000000     5.131532     9.813067
  338.000000     5.134352     9.872011
  339.000000     5.137360     9.925631
  340.000000     5.140515     9.982864
  341.000000     5.143681    10.031679
  342.000000     5.146527    10.085747
  343.000000     5.149308    10.136699
  344.000000     5.152132    10.193510
  345.000000     5.155374    10.248322
  346.000000     5.158646    10.300749
  347.000000     5.161924    10.354522
  348.000000     5.165413    10.405510
  349.000000     5.169083    10.451376
  350.000000     5.172271    10.495495
  351.000000     5.175425    10.541730
  352.000000     5.178508    10.583894
  353.000000     5.181246    10.629922
  354.000000     5.184252    10.671925
  355.000000     5.186839    10.724606
  356.000000     5.190246    10.771273
  357.000000     5.193947    10.814219
  358.000000     5.197285    10.854464
  359.000000     5.200271    10.887465
  360.000000     5.202716    10.922998
  361.000000     5.205023    10.965929
  362.000000     5.207511    11.009396
  363.000000     5.210325    11.052253
  364.000000     5.212845    11.095455
  365.000000     5.215944    11.137038
  366.000000     5.218678    11.176314
  367.000000     5.221494    11.217282
  368.000000     5.224327    11.252422
  369.000000     5.226844    11.288938
  370.000000     5.229257    11.326252
  371.000000     5.231762    11.362718
  372.000000     5.233903    11.402578
  373.000000     5.236592    11.440272
  374.000000     5.238905    11.474510
  375.000000     5.241353    11.514844
  376.000000     5.243544    11.547292
  377.000000     5.245671    11.580341
  378.000000     5.247776    11.620486
  379.000000     5.249639    11.653660
  380.000000     5.251905    11.690179
  381.000000     5.253720    11.722733
  382.000000     5.255346    11.757389
  383.000000     5.257046    11.794606
  384.000000     5.258617    11.828354
  385.000000     5.260189    11.866763
  386.000000     5.261431    11.903127
  387.000000     5.262897    11.941866
  388.000000     5.264386    11.983513
  389.000000     5.265876    12.021486
  390.000000     5.266972    12.062298
  391.000000     5.268583    12.106173
  392.000000     5.270065    12.149067
  393.000000     5.271584    12.192506
  394.000000     5.273278    12.237467
  395.000000     5.275282    12.279777
  396.000000     5.276909    12.321666
  397.000000     5.278776    12.361414
  398.000000     5.280644    12.403893
  399.000000     5.282274    12.440955
